role_family,contributing_sources,n_sources,total_distinct_skills_found,top_skills
Full-Stack Developer,stackoverflow_india,1,215,JavaScript (1098); HTML/CSS (914); npm (835); MySQL (769); React (766); Node.js (734); SQL (724); TypeScript (679); Amazon Web Services (AWS) (643); MongoDB (638)
Graphic / Web Designer,naukri_datacsv,1,369,Photoshop (82); HTML (77); Illustrator (65); JavaScript (63); CSS (51); Web Technologies (42); jQuery (39); Web designing (29); UX (22); WordPress (20)
IT / Technical Content Developer,naukri_datacsv,1,134,JavaScript (18); HTML (18); C (17); C++ (17); design (17); MySQL (17); Content Writing (10); integration PHP (6); Technical product configuration (6); SEO (6)
IT / Technology Leadership (CTO/VP),naukri_datacsv,1,121,SQL (5); JavaScript (3); Python (3); Oracle (3); Computer science (3); Healthcare (2); Android (2); Continuous improvement (2); .NET (2); PMP (2)
Machine Learning Engineer,archive3;archive4,2,99,Machine Learning (31); Python (20); IT Skills (10); Data Science (9); Java (5); Algorithms (5); deep learning (5); Computer science (5); Big Data (4); TensorFlow (4)
Mobile Developer,stackoverflow_india,1,162,SQLite (140); Firebase (133); Kotlin (123); Java (121); Flutter (116); Swift (116); Dart (102); Gradle (93); JavaScript (90); MySQL (85)
Network Administrator,naukri_datacsv,1,384,Networking (40); CCNA (18); Network security (16); WAN (15); Firewall (15); Troubleshooting (15); cisco (14); DNS (14); LAN (13); Linux (10)
Product / Research Analyst,archive3,1,292,Data Analysis (56); Product Analyst (26); Analytical (26); Market research (21); Data collection (20); Research Analyst (13); Data Mining (12); Research Analysis (11); data visualization (10); Primary research (10)
Product Manager,archive3;naukri_datacsv,2,452,Product management (51); Project management (19); Agile (17); product development (13); Product Manager (13); Computer science (12); JavaScript (9); Scrum (9); Analytical (9); HTML (7)
Project / Program Manager (IT),archive4;naukri_datacsv,2,1035,Project management (135); PMP (43); Agile (37); Project planning (30); Management (27); Java (25); Program Management (23); SQL (21); Monitoring (21); .NET (20)
Site Reliability Engineer,stackoverflow_india,1,193,Python (10); Pip (9); Amazon Web Services (AWS) (9); Docker (8); PostgreSQL (8); SQL (7); Bash/Shell (all shells) (7); Google Cloud (6); MySQL (6); Make (6)
Software Developer,archive3;archive4;naukri_datacsv,3,4362,JavaScript (1758); HTML (1345); SQL (990); jQuery (901); Java (852); CSS (723); MySQL (722); Python (701); .NET (622); PHP (577)
System Administrator,naukri_datacsv;stackoverflow_india,2,964,Windows (64); Linux (60); Troubleshooting (51); Networking (41); Unix (38); Python (36); DNS (35); Monitoring (33); System Administration (32); Active Directory (31)
System Analyst,archive3;archive4;naukri_datacsv,3,628,SQL (13); Python (13); Java (12); Linux (12); Troubleshooting (9); HTML (8); C# (7); .NET (7); Unix (7); SQL Server (7)
System Security / Security Analyst,naukri_datacsv;stackoverflow_india,2,391,Information security (27); Network security (17); Python (13); cyber security (13); JavaScript (11); C (10); Linux (9); Vulnerability Assessment (9); Security (8); Windows (8)
Team Lead / Technical Lead,archive3;archive4;naukri_datacsv,3,1834,JavaScript (139); Java (110); Python (92); HTML (90); SQL (90); jQuery (58); Web Services (52); MySQL (52); Linux (51); C (50)
Technical Architect,archive3;naukri_datacsv,2,1156,Architect (78); JavaScript (58); Java (51); SQL (43); HTML (37); Python (37); Technical Architect (35); SOAP (30); Solution Architect (28); J2Ee (27)
Technical Support Engineer,naukri_datacsv,1,735,Technical support (68); Troubleshooting (35); Linux (29); Networking (28); Windows (25); Application support (24); SQL (24); Customer support (18); Production support (17); Customer service (16)
Technical Writer,naukri_datacsv,1,144,Technical writing (19); Technical documentation (9); technical writer (8); documentation (5); Agile (4); XML (4); Project management (4); Content Writing (4); MS Office (3); Business Analysis (3)
Testing Engineer / QA,archive3;naukri_datacsv;stackoverflow_india,3,1100,Selenium (125); Automation Testing (107); Test cases (104); Manual Testing (92); Testing (83); Python (81); SQL (74); Java (71); Automation (66); Performance Testing (50)
Webmaster,naukri_datacsv,1,180,SEO (35); Link building (24); HTML (18); PPC (15); Search engine optimization (14); Google Analytics (10); Social media (9); SEM (9); Web analytics (8); website (8)
